id,target_virus,target_abbrev,virus_group,vector_or_route,candidate,platform,developer_sponsor,stage_order,stage,status_type,active_status,regulatory_status,target_use,evidence_summary,next_milestone,development_geography,source_1,source_url_1,source_2,source_url_2,source_3,source_url_3,notes,automation_method,last_checked_utc,supporting_record_count
zikv-vrc5283-vrc-705-dna-zika-vaccine-e6c3eda1,Zika virus,ZIKV,Mosquito-borne / congenital-risk flavivirus,Aedes mosquitoes; sexual and congenital transmission also relevant,VRC5283 / VRC 705 DNA Zika vaccine,DNA vaccine encoding Zika virus prM/E antigens,NIH Vaccine Research Center / NIAID and collaborators,4,Phase 2,Phase 2 clinical development,Completed/closed trial signal; no licensed vaccine,Investigational; no authorized Zika vaccine seeded,Potential outbreak/congenital-risk protection for reproductive-age populations if efficacy pathway resumes,"VRC5283 advanced into a Phase 2/2B Zika vaccine study, but Zika vaccine development remains without a licensed product.",Determine feasible efficacy/immunobridging pathway under lower or episodic transmission conditions.,Americas and U.S. clinical research sites,ClinicalTrials.gov NCT03110770,https://clinicaltrials.gov/study/NCT03110770,NIAID Zika vaccine trial announcement,https://www.niaid.nih.gov/news-events/phase-2-zika-vaccine-trial-begins-us-central-and-south-america,WHO Zika fact sheet,https://www.who.int/news-room/fact-sheets/detail/zika-virus,"Highest seeded Zika stage is clinical, but not licensure.",Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
zikv-mrna-1893-zika-vaccine-f016aa75,Zika virus,ZIKV,Mosquito-borne / congenital-risk flavivirus,Aedes mosquitoes; sexual and congenital transmission also relevant,mRNA-1893 Zika vaccine,mRNA vaccine encoding Zika virus antigens,Moderna,4,Phase 2,Phase 2 clinical development,Phase 2 dose-confirmation clinical signal,Investigational; no authorized Zika vaccine seeded,Potential outbreak/congenital-risk protection if development pathway succeeds,mRNA-1893 has Phase 1 and Phase 2 ClinicalTrials.gov records and is tracked as a clinical-stage Zika candidate.,"Safety, immunogenicity, durability, and viable efficacy/immunobridging strategy.",United States and trial-network sites,ClinicalTrials.gov NCT04917861,https://clinicaltrials.gov/study/NCT04917861,ClinicalTrials.gov NCT04064905,https://clinicaltrials.gov/study/NCT04064905,WHO Zika fact sheet,https://www.who.int/news-room/fact-sheets/detail/zika-virus,,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
zikv-zpiv-purified-inactivated-zika-vaccine-lineage-d2e67d32,Zika virus,ZIKV,Mosquito-borne / congenital-risk flavivirus,Aedes mosquitoes; sexual and congenital transmission also relevant,ZPIV purified inactivated Zika vaccine lineage,Purified inactivated whole-virus Zika vaccine,Walter Reed Army Institute of Research / NIAID / BARDA partners,3,Phase 1,Phase 1 clinical development,Early clinical signal,Investigational; no authorized Zika vaccine seeded,Potential outbreak/congenital-risk protection if development pathway resumes,ZPIV and related inactivated Zika vaccine candidates entered Phase 1 studies but are not licensed products.,"Define development sponsor, immune correlate, and efficacy/immunobridging pathway.",United States and other early clinical-trial settings,ClinicalTrials.gov NCT02937233,https://clinicaltrials.gov/study/NCT02937233,WHO Zika fact sheet,https://www.who.int/news-room/fact-sheets/detail/zika-virus,,,,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
denv-dengvaxia-cyd-tdv-135eccc2,Dengue virus,DENV,Mosquito-borne flavivirus,Aedes mosquitoes,Dengvaxia / CYD-TDV,Live attenuated chimeric tetravalent dengue vaccine,Sanofi Pasteur,7,Programmatic use / stockpile / post-licensure,Licensed / restricted programmatic use,Use limited to seropositive populations where recommended/authorized,FDA-approved for laboratory-confirmed previous dengue infection in specified endemic-area pediatric/adolescent populations; other country policies vary,Seropositive people in defined age/geography groups; not a universal dengue vaccine lane,Dengvaxia is a licensed tetravalent dengue vaccine but requires strict prior-infection targeting because of safety/benefit considerations.,Maintain serostatus-linked policy safeguards and monitor country-specific use recommendations.,Selected endemic jurisdictions; U.S. endemic territories under ACIP/FDA constraints,FDA Dengvaxia package insert,https://www.fda.gov/media/124379/download,CDC dengue vaccine guidance,https://www.cdc.gov/dengue/hcp/vaccine/index.html,WHO prequalified vaccines list,https://extranet.who.int/prequal/vaccines/prequalified-vaccines,Counted as post-licensure but flagged as restricted-use rather than broad deployment.,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
denv-qdenga-tak-003-99f82e3c,Dengue virus,DENV,Mosquito-borne flavivirus,Aedes mosquitoes,Qdenga / TAK-003,Live attenuated tetravalent dengue vaccine,Takeda,7,Programmatic use / stockpile / post-licensure,Authorized / WHO-prequalified,Authorized in several jurisdictions; WHO prequalified,WHO prequalified in 2024; EMA-authorized; national recommendations differ,Children/adolescents in high-transmission settings where recommended and travellers where authorized by national policy,"TAK-003/Qdenga became the second dengue vaccine prequalified by WHO, adding a major programmatic dengue-vaccine option.","Track national policy adoption, risk-group guidance, supply scale-up, and post-authorization safety/effectiveness data.",WHO prequalification; EU and multiple endemic-country regulatory pathways,WHO prequalifies new dengue vaccine,https://www.who.int/news/item/15-05-2024-who-prequalifies-new-dengue-vaccine,EMA Qdenga EPAR,https://www.ema.europa.eu/en/medicines/human/EPAR/qdenga,WHO prequalified vaccines list,https://extranet.who.int/prequal/vaccines/prequalified-vaccines,National recommendations can be more restrictive than the marketing authorization.,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
denv-tv003-tv005-butantan-dv-lineage-103e03c5,Dengue virus,DENV,Mosquito-borne flavivirus,Aedes mosquitoes,TV003 / TV005 / Butantan-DV lineage,Single-dose live attenuated tetravalent dengue vaccine candidate,U.S. NIH/NIAID lineage; Instituto Butantan and partners,5,Efficacy / Phase 3,Efficacy-stage clinical development,Phase 3 / efficacy-stage evidence signal,Investigational; no dashboard-seeded WHO/FDA/EMA authorization signal,"Potential broad endemic-area dengue vaccination if efficacy, safety, and regulatory endpoints are met",The TV003/TV005 lineage is represented as an efficacy-stage dengue vaccine candidate; automated ClinicalTrials.gov refresh can update linked trial status.,"Regulatory review, implementation policy, and post-trial safety/effectiveness assessment if filings proceed.",Brazil and other dengue-endemic research settings,ClinicalTrials.gov NCT02406729,https://clinicaltrials.gov/study/NCT02406729,NIAID dengue vaccine research,https://www.niaid.nih.gov/diseases-conditions/dengue-vaccines,,,Seeded as Phase 3/efficacy-stage rather than authorized; confirm country-specific regulatory status before use.,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
jev-ixiaro-ic51-d3f71177,Japanese encephalitis virus,JEV,Mosquito-borne flavivirus,Culex mosquitoes; enzootic pig/bird cycle,IXIARO / IC51,"Purified inactivated, Vero-cell-derived Japanese encephalitis vaccine",Valneva Austria GmbH,7,Programmatic use / stockpile / post-licensure,Licensed / deployed,Travel and risk-based use,FDA and EMA-authorized for prevention of disease caused by Japanese encephalitis virus in age-defined populations,"Travellers to endemic areas, laboratory workers, and other risk groups according to national guidance",IXIARO is an authorized inactivated Japanese encephalitis vaccine and is used for risk-based protection outside routine endemic-country programmes.,Continue risk-based travel/laboratory recommendations and supply monitoring.,"United States, European Union, travel-medicine markets, and other jurisdictions",FDA IXIARO product page,https://www.fda.gov/vaccines-blood-biologics/vaccines/ixiaro,CDC Japanese encephalitis vaccine guidance,https://www.cdc.gov/japanese-encephalitis/hcp/vaccine/index.html,EMA IXIARO product information,https://www.ema.europa.eu/en/medicines/human/EPAR/ixiaro,,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
jev-live-attenuated-sa14-14-2-japanese-encephalitis-vaccines-a5ac91a0,Japanese encephalitis virus,JEV,Mosquito-borne flavivirus,Culex mosquitoes; enzootic pig/bird cycle,Live attenuated SA14-14-2 Japanese encephalitis vaccines,Live attenuated SA14-14-2,Chengdu Institute of Biological Products and other regional programme partners,7,Programmatic use / stockpile / post-licensure,WHO-prequalified / programmatic use,Routine use in endemic-country immunization programmes,WHO-prequalified product lineage and widely used endemic-country programme vaccine,Pediatric routine immunization and campaigns in endemic countries,"SA14-14-2 is a mature JE vaccine platform used programmatically in endemic settings, including WHO-prequalified supply pathways.","Maintain endemic-country coverage, supply quality, and surveillance for programme impact.",Asia-Pacific endemic countries; global procurement channels where applicable,WHO Japanese encephalitis vaccine standardization,https://www.who.int/teams/health-product-policy-and-standards/standards-and-specifications/vaccine-standardization/japanese-encephalitis,WHO prequalified vaccines list,https://extranet.who.int/prequal/vaccines/prequalified-vaccines,PATH Japanese encephalitis vaccine overview,https://www.path.org/our-impact/resources/japanese-encephalitis-vaccine/,Row groups multiple programme products/platform instances at the target-virus level.,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
mvev-no-murray-valley-encephalitis-human-vaccine-pathway-identified-958c5a81,Murray Valley encephalitis virus,MVEV,Mosquito-borne flavivirus,Culex mosquitoes; enzootic waterbird cycle,No Murray Valley encephalitis human-vaccine pathway identified,Gap lane,None identified by automated scan/seed sources,0,No dedicated human-vaccine pathway / gap lane,Gap / no dedicated pathway,No human vaccine identified,No vaccine or specific treatment in seeded Australian CDC guidance,No licensed human vaccine; prevention relies on mosquito avoidance and surveillance,Australian public-health guidance identifies no vaccine or specific treatment for Murray Valley encephalitis virus infection.,"Assess cross-protection science, One Health surveillance triggers, and feasibility of a dedicated candidate pathway.",Australia and Papua New Guinea region,Australian CDC MVE overview,https://www.cdc.gov.au/diseases/murray-valley-encephalitis-mve-virus-infection,PHAC pathogen safety data sheet for MVEV,https://www.canada.ca/en/public-health/services/laboratory-biosafety-biosecurity/pathogen-safety-data-sheets-risk-assessment/murray-valley-encephalitis.html,,,,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
slev-no-st-louis-encephalitis-human-vaccine-pathway-identified-bc4e9a60,St. Louis encephalitis virus,SLEV,Mosquito-borne flavivirus,Culex mosquitoes; bird reservoir,No St. Louis encephalitis human-vaccine pathway identified,Gap lane,None identified by automated scan/seed sources,0,No dedicated human-vaccine pathway / gap lane,Gap / no dedicated pathway,No human vaccine identified,No St. Louis encephalitis vaccines available for humans in seeded CDC guidance,No dedicated human vaccine pathway identified; mosquito-bite prevention remains primary,CDC guidance states that no St. Louis encephalitis vaccines are available for use in humans.,"Prioritization decision, candidate discovery, and potential integration with broader JE-serocomplex vaccine strategy.",Americas,CDC SLE treatment/prevention,https://www.cdc.gov/sle/hcp/treatment-prevention/index.html,CDC SLE overview,https://www.cdc.gov/sle/about/index.html,,,,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
usuv-no-usutu-human-vaccine-pathway-identified-5a601aae,Usutu virus,USUV,Mosquito-borne flavivirus,Culex mosquitoes; bird reservoir,No Usutu human-vaccine pathway identified,Gap lane,None identified by automated scan/seed sources,0,No dedicated human-vaccine pathway / gap lane,Gap / no dedicated pathway,No human vaccine identified,No Usutu vaccine available for humans in seeded CDC guidance,No licensed human vaccine; prevention relies on mosquito avoidance and surveillance,CDC guidance states that no Usutu virus vaccines are available for use in humans.,"Clarify burden, risk groups, and whether WNV/JE-serocomplex vaccine technologies provide a development shortcut.",Europe and other Culex-borne flavivirus surveillance settings,CDC Usutu clinical prevention,https://www.cdc.gov/usutu/hcp/clinical-diagnosis-treatment/index.html,CDC Usutu overview,https://www.cdc.gov/usutu/about/index.html,,,,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
wnv-hydrovax-001b-west-nile-virus-vaccine-3eb3c8d8,West Nile virus,WNV,Mosquito-borne flavivirus,Culex mosquitoes; bird reservoir,HydroVax-001B West Nile virus vaccine,Hydrogen peroxide-inactivated whole-virus vaccine candidate,Oregon Health & Science University / IDCRC / NIAID-supported network,3,Phase 1,Phase 1 clinical development,Phase 1 safety/immunogenicity trial signal,Investigational; no licensed human WNV vaccine,Potential severe-disease prevention for older adults and other high-risk groups if clinical pathway succeeds,"HydroVax-001B is in Phase 1 human evaluation, while public-health guidance still notes no licensed human WNV vaccine.",Phase 1 safety/immunogenicity readout and decision on age/risk-group development strategy.,United States,ClinicalTrials.gov NCT06745921,https://clinicaltrials.gov/study/NCT06745921,IDCRC WNV vaccine trial launch,https://idcrc.org/about/news-archive/west-nile.html,CDC WNV treatment/prevention,https://www.cdc.gov/west-nile-virus/hcp/treatment-prevention/index.html,No licensed human vaccine row is not a separate gap because a dedicated human clinical pathway is now represented.,Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
yfv-17d-yellow-fever-vaccines-yf-vax-stamaril-who-pq-producers-979ba25e,Yellow fever virus,YFV,Mosquito-borne flavivirus,Aedes/Hemagogus mosquitoes,17D yellow fever vaccines (YF-VAX / Stamaril / WHO-PQ producers),Live attenuated 17D-lineage vaccines,"Sanofi, Bio-Manguinhos/Fiocruz, Institut Pasteur de Dakar, and other WHO-prequalified/public-sector manufacturers",7,Programmatic use / stockpile / post-licensure,Licensed / deployed,Programmatic and travel use,Licensed in multiple jurisdictions; WHO-recommended prevention measure; emergency stockpile use,"Routine immunization in endemic areas, outbreak response, travel requirements, laboratory-risk protection, and emergency stockpile",Long-established 17D-lineage vaccines anchor global yellow fever prevention; a single dose is considered to provide long-term/lifelong protection in standard recommendations.,"Maintain supply resilience, outbreak stockpile readiness, and risk-based vaccination coverage.",Global; endemic areas in Africa and South America plus travel clinics,FDA YF-VAX product page,https://www.fda.gov/vaccines-blood-biologics/vaccines/yf-vax,WHO yellow fever fact sheet,https://www.who.int/news-room/fact-sheets/detail/yellow-fever,CDC Yellow Book yellow fever chapter,https://www.cdc.gov/yellow-book/hcp/travel-associated-infections-diseases/yellow-fever.html,"Dashboard stage reflects vaccine-development maturity, not current outbreak risk or country-entry requirements.",Curated official-source seed row; refreshed alongside automated ClinicalTrials.gov scan,2026-06-15T14:00:44Z,1
